Legacy_Customer_ID,Age,Employment_Type,Education_Level,Annual_Income($),Credit_Score,Region,Account_Type,Customer_Feedback,CLV_Score,Complaint_Count,Contact_Preference,Subscription_Tier,Target
nan,35.0,Self-Employed,Master,8238.15,,Southwest,Checking,Excellent customer service experience,17.1,0,Text,Basic,0
nan,35.0,Freelancer,High School,5327.59,827.0154389918281,Midwest,Checking,Loyalty program privileges are profitable,8.6,0,Phone,Basic,1
nan,28.0,Self-Employed,Associate,78780.2,803.2839540256948,West Coast,Checking,Return process was difficult,30.2,1,Email,Basic,1
nan,50.0,Salaried,Bachelor,287709.86,756.5467717050789,Midwest,Savings,Delivery was deferred by 3 days,29.1,0,Email,Enterprise,0
nan,42.0,Salaried,Associate,59381.4,702.8462034629301,Midwest,Savings,Highly recommend this service to colleagues,48.7,0,Email,Premium,0
nan,61.0,Salaried,Master,4495.61,780.0314830489862,Northeast,Savings,Delivery was pushed back by 3 days,5.7,0,Text,Enterprise,0
nan,28.0,Salaried,nan,21252.12,663.327018047477,West Coast,Checking,Product caliber outdid anticipations,23.7,1,App,Basic,0
nan,50.0,Self-Employed,High School,23864.88,773.8287657622129,Midwest,Savings,Highly recommend this service to colleagues,4.5,1,Email,Premium,1
nan,50.0,Self-Employed,Master,35043.28,766.3986768710022,West Coast,Checking,Website user experience needs improvement,5.0,1,Email,Basic,1
nan,50.0,Salaried,High School,3789.52,712.432713267536,West Coast,Checking,Product caliber outdid anticipations,36.7,0,App,Basic,1
nan,61.0,Salaried,Associate,199983.71,776.9593156675386,Northeast,Joint,Technical support was negligent,30.7,1,Email,Premium,0
nan,50.0,Salaried,High School,61605.44,697.6389435268075,West Coast,Savings,Billing concerns caused frustration,16.3,0,Email,Basic,1
nan,,nan,High School,94476.41,656.7457200950884,Northeast,Joint,Highly recommend this service without hesitation,19.8,0,Email,Basic,1
nan,35.0,Self-Employed,Associate,5910.5,768.898250649996,Southwest,Joint,Competitive pricing compared to others,22.6,0,Phone,Basic,0
